symbol,strat,entry_id,side,qty,entry_time,entry,exit_time,exit,reason,R,pnl
MNQ,EMA,2142,SHORT,2,2026-06-16 10:55:00-05:00,30818.75,2026-06-17 08:30:00-05:00,30686.7747,STOP,96.7747,527.9
MNQ,EMA,2143,SHORT,4,2026-06-17 08:35:00-05:00,30751.75,2026-06-17 08:40:00-05:00,30818.7002,STOP,66.9502,-535.6
MNQ,EMA,2144,LONG,4,2026-06-17 08:45:00-05:00,30831.5,2026-06-17 08:50:00-05:00,30752.585,STOP,78.915,-631.32
MNQ,EMA,2145,LONG,4,2026-06-17 08:55:00-05:00,30783.75,2026-06-17 08:55:00-05:00,30700.3539,STOP,83.3961,-667.17
MNQ,EMA,2146,LONG,2,2026-06-17 09:00:00-05:00,30657.25,2026-06-17 09:20:00-05:00,30840.5213,TP2R,91.6357,733.09
MNQ,EMA,2146,LONG,2,2026-06-17 09:00:00-05:00,30657.25,2026-06-17 09:30:00-05:00,30760.6143,STOP,91.6357,413.46
MNQ,EMA,2147,LONG,4,2026-06-17 09:35:00-05:00,30771.0,2026-06-17 09:45:00-05:00,30669.5779,STOP,101.4221,-811.38
MNQ,EMA,2148,LONG,4,2026-06-17 09:50:00-05:00,30680.25,2026-06-17 10:05:00-05:00,30693.25,FLIP,113.8902,104.0
MNQ,EMA,2149,SHORT,4,2026-06-17 10:05:00-05:00,30693.25,2026-06-17 10:35:00-05:00,30741.75,FLIP,111.6725,-388.0
MNQ,EMA,2150,LONG,4,2026-06-17 10:35:00-05:00,30741.75,2026-06-17 11:55:00-05:00,30708.75,FLIP,100.5062,-264.0
MNQ,EMA,2151,SHORT,4,2026-06-17 11:55:00-05:00,30708.75,2026-06-17 12:55:00-05:00,30772.6343,STOP,63.8843,-511.07
MNQ,EMA,2152,LONG,4,2026-06-17 13:00:00-05:00,30780.75,2026-06-17 13:00:00-05:00,30717.2638,STOP,63.4862,-507.89
MNQ,EMA,2153,SHORT,4,2026-06-17 13:05:00-05:00,30484.25,2026-06-17 13:05:00-05:00,30576.8176,STOP,92.5676,-740.54
MNQ,EMA,2154,SHORT,4,2026-06-17 13:10:00-05:00,30564.75,2026-06-17 13:35:00-05:00,30672.0538,STOP,107.3038,-858.43
MNQ,EMA,2155,SHORT,4,2026-06-17 13:40:00-05:00,30671.0,2026-06-17 13:40:00-05:00,30802.5351,STOP,131.5351,-1052.28
MNQ,EMA,2156,SHORT,4,2026-06-17 13:45:00-05:00,30815.5,2026-06-17 13:50:00-05:00,30762.75,FLIP,139.3093,422.0
MNQ,EMA,2157,LONG,4,2026-06-17 13:50:00-05:00,30762.75,2026-06-17 13:55:00-05:00,30624.4717,STOP,138.2783,-1106.23
MNQ,EMA,2158,SHORT,2,2026-06-17 14:00:00-05:00,30583.75,2026-06-17 14:35:00-05:00,30287.4257,TP2R,148.1622,1185.3
MNQ,EMA,2158,SHORT,2,2026-06-17 14:00:00-05:00,30583.75,2026-06-17 15:15:00-05:00,30402.6622,STOP,148.1622,724.35
MNQ,EMA,2159,SHORT,4,2026-06-17 15:20:00-05:00,30396.5,2026-06-18 08:30:00-05:00,30542.2933,STOP,145.7933,-1166.35
MNQ,EMA,2160,LONG,4,2026-06-18 08:35:00-05:00,30796.75,2026-06-18 13:45:00-05:00,30989.0,FLIP,142.4257,1538.0
MNQ,EMA,2161,SHORT,4,2026-06-18 13:45:00-05:00,30989.0,2026-06-18 13:50:00-05:00,31016.0,FLIP,42.5208,-216.0
MNQ,EMA,2162,LONG,4,2026-06-18 13:50:00-05:00,31016.0,2026-06-18 14:00:00-05:00,30973.1146,STOP,42.8854,-343.08
MNQ,EMA,2163,SHORT,4,2026-06-18 14:05:00-05:00,30987.75,2026-06-18 14:35:00-05:00,31032.8902,STOP,45.1402,-361.12
MNQ,EMA,2164,LONG,2,2026-06-18 14:40:00-05:00,31033.75,2026-06-22 08:30:00-05:00,31124.0761,TP2R,45.1631,361.3
MNQ,EMA,2164,LONG,2,2026-06-18 14:40:00-05:00,31033.75,2026-06-22 08:40:00-05:00,31190.5869,STOP,45.1631,627.35
MNQ,EMA,2165,LONG,2,2026-06-22 08:45:00-05:00,31103.25,2026-06-22 09:00:00-05:00,31263.0464,TP2R,79.8982,639.19
MNQ,EMA,2165,LONG,2,2026-06-22 08:45:00-05:00,31103.25,2026-06-22 09:15:00-05:00,31186.3518,STOP,79.8982,332.41
MNQ,EMA,2166,LONG,4,2026-06-22 09:20:00-05:00,31191.0,2026-06-22 09:25:00-05:00,31099.7615,STOP,91.2385,-729.91
MNQ,EMA,2167,LONG,4,2026-06-22 09:30:00-05:00,31070.25,2026-06-22 09:30:00-05:00,30974.0431,STOP,96.2069,-769.66
MNQ,EMA,2168,LONG,4,2026-06-22 09:35:00-05:00,31004.5,2026-06-22 09:40:00-05:00,31008.0,FLIP,101.6832,28.0
MNQ,EMA,2169,SHORT,4,2026-06-22 09:40:00-05:00,31008.0,2026-06-22 12:55:00-05:00,30954.25,FLIP,102.0808,430.0
MNQ,EMA,2170,LONG,4,2026-06-22 12:55:00-05:00,30954.25,2026-06-22 13:45:00-05:00,30890.2179,STOP,64.0321,-512.26
